feature,mae_increase,mae_increase_std
crop,3.696372350824845,0.3244427017101961
soil_organic_matter_pct,0.243047919649323,0.03890285557983701
nitrogen_kg_ha,0.10414394449991755,0.016009995231160368
irrigated,0.053183948843704566,0.007085743652828781
rainfall_mm,0.028791129714448294,0.006724375356680266
soil_ph,0.023571246807186363,0.006127936821401874
avg_temperature_c,0.0031921350336915955,0.0024717215493023285
state,0.0007753841591659593,0.0009605413871957898
season,0.00010080148991006843,0.00019314155422193785
farm_size_ha,6.932411527042492e-05,2.3108038423474973e-05
